# Wavelength[nm], Reflectance
1.442892667056630216e+03 5.766579698338789584e-01
1.443552329556856193e+03 5.837640867256169708e-01
1.444212480786476590e+03 5.820893184941625664e-01
1.444873365110188843e+03 5.615747093775904641e-01
1.445534982527992724e+03 5.697601486434107354e-01
1.446196966492842421e+03 6.012173910388959319e-01
1.446859805734132578e+03 6.179341109343177152e-01
1.447523133704817155e+03 6.364613217218341168e-01
1.448187316951942194e+03 6.423824416456866970e-01
1.448851988928461878e+03 6.400079372779310383e-01
1.449517271816724588e+03 6.400449866997467430e-01
1.450183287799078926e+03 6.495834069921773146e-01
1.450849914693176515e+03 6.649532726475929634e-01
1.451517152499017129e+03 6.652909768841218652e-01
1.452185123398949600e+03 6.666387085102104537e-01
1.452853705210625094e+03 6.706961859850192331e-01
1.453522775751695008e+03 6.635311782213911824e-01
1.454192701569205383e+03 6.694891816774670712e-01
1.454863238298459009e+03 6.470598297791998466e-01
1.455534385939455660e+03 6.590309772824088919e-01
1.456206144492195335e+03 6.693845663715941585e-01
1.456878636139026867e+03 6.753584769659599640e-01
1.457551738697601650e+03 6.760538877135902069e-01
1.458225452167919457e+03 6.956249520403878783e-01
1.458899898732328893e+03 6.936769955469683779e-01
1.459574956208481581e+03 7.021642536229818488e-01
1.460250746778725897e+03 7.098053275734407253e-01
1.460927026078364861e+03 7.222997139129495592e-01
1.461604160654444058e+03 7.279642832812424080e-01
1.462281906142266507e+03 7.337388215963039917e-01
1.462960262541831980e+03 7.419020814416688037e-01
1.463639229853140705e+03 7.461243484133842641e-01
1.464318930258541059e+03 7.473371475983271450e-01
1.464999241575684664e+03 7.352838874558333959e-01
1.465680285986919898e+03 7.368973461769587896e-01
1.466361941309898384e+03 7.399056161922842323e-01
1.467044329726968499e+03 7.460997958258268614e-01
1.467727329055781638e+03 7.495418851730102361e-01
1.468410939296338029e+03 7.391812523537076851e-01
1.469095282630986276e+03 7.434823841034362557e-01
1.469780359059726152e+03 7.264328118199537832e-01
1.470466046400209052e+03 7.382257547105104400e-01
1.471152344652435204e+03 7.268484712363956213e-01
1.471839375998753212e+03 7.141984197091456599e-01
1.472527018256814245e+03 7.077127293738197933e-01
1.473215393608966906e+03 7.019004394659935642e-01
1.473904502055211424e+03 6.880662407638228339e-01
1.474594221413199193e+03 6.413109903968126080e-01
1.475284673865278592e+03 5.579047992038390635e-01
1.475975737229101014e+03 5.399745146877312774e-01
1.476667533687015293e+03 6.528949145118226882e-01
1.477359941056672596e+03 7.006882944594745588e-01
1.478053081520421756e+03 7.294786337613643479e-01
1.478746832895914167e+03 7.405582043171734519e-01
1.479441439547846812e+03 7.401504802587652865e-01
1.480136534929173877e+03 7.478843174809123306e-01
1.480832485586941402e+03 7.521350064354481724e-01
1.481529047156451952e+03 7.490331254226679780e-01
1.482226219637705753e+03 7.420908168534605664e-01
1.482924247395400016e+03 7.415603396504283351e-01
1.483622763882488471e+03 7.357588748531397327e-01
1.484322135646017614e+03 7.442979782139270695e-01
1.485022118321289781e+03 7.381126052366989709e-01
1.485722834090653578e+03 7.434657238389529299e-01
1.486424160771760626e+03 7.478921137149582288e-01
1.487126342729307908e+03 7.475779081780932200e-01
1.487829135598598441e+03 7.585813535098778759e-01
1.488532661561980831e+03 7.337413068864229171e-01
1.489236798437106017e+03 7.316832967538740018e-01
1.489941668406323288e+03 7.433549221759164771e-01
1.490647271469632187e+03 7.427603524788558564e-01
1.491353607627032716e+03 7.402323179956509236e-01
